Year,Aruba,Afghanistan,Angola,Albania,Arab World,United Arab Emirates,Argentina,Armenia,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,India,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Sri Lanka,Lower middle income,Low & middle income,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",Morocco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,"Macedonia, FYR",Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Mongolia,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Portugal,Paraguay,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,Somalia,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Swaziland,Seychelles,Syrian Arab Republic,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Vietnam,Vanuatu,World,Samoa,"Yemen, Rep.",South Africa,"Congo, Dem. Rep.",Zambia,Zimbabwe
1970,,1672.152,3582.659,3744.007,220575.7422,15247.386,82734.854,,462.042,147618.752,50692.608,,62.339,125620.419,282.359,143.013,,61238.9,2592.569,2574.234,,,121.011,227.354,2486.226,93761.523,429.039,8210.413,3.667,,209.019,341485.708,810322.5369,40296.663,24664.242,771617.474,2442.222,638.058,572.052,28404.582,29.336,36.67,1250.447,20960.572,18672.364,36.67,1705.155,,,139.346,25.669,62100.645,3109.616,15075.037,914687.0318,1097928.287,1971505.643,,,4283.056,21686.638,,116929.629,,1653.817,3754545.244,103343.5951,40395.672,520.714,439013.24,256.69,2082.856,653063.364,,2625.572,69.673,792.072,47.671,69.673,36.67,24165.53,44.004,381.368,2299.209,1580.477,9408662.164,8401.097,1389.793,43489.14145,,385.035,70003.03,3658812.545,3885241.212,226181.1053,153222.5154,35822.923,68577.02847,195143.072,19413.098,91873.018,23908.84,1389.793,16578.507,296740.974,4994.454,1558.475,768823.22,,3083.947,,1173.44,22.002,25.669,53783.889,25041.943,459449.431,572.052,3949.359,1452.132,32331.939,66.006,510015.6538,47852.29802,3597.327,655341.7409,3477086.675,2569235.759,,13747.583,,205.352,7293.663,,971.755,,324061.2426,114073.036,,3418402.412,,201.685,663.727,4616.753,210848.5446,2849.259,2984.938,429.039,498.712,454.708,14601.994,4670617.563,,2394.551,216.353,21539.958,1404.461,141934.902,28012.213,227.354,66.006,14194.957,9342086.279,234.688,36165.63888,24337.879,2203.867,17784.95,24781.586,135.679,693.063,304441.674,84937.41506,15258.387,744.401,959.6135398,9532017.094,194.351,7568.688,120112.585,,58.672,228245.8224,45291.117,4855.108,1309.119,18210.322,40.337,872.746,1430.13,216.353,226150.4728,226177.5467,60010.75377,14.668,1609.813,,,92379.064,366.7,29.336,6659.272,124.678,901253.1487,,275.025,15375.731,,,480670.36,210731.489,25.669,228245.8224,226177.5467,8998.818,3744.007,42639.876,1767.494,1444.798,,2759738.997,5742.522,4328904.501,,29.336,74561.111,18.335,28199.23,40.337,14789733.4,29.336,2511.895,149763.947,2713.58,3769.676,8162.742
1971,,1895.839,3410.31,4352.729,250916.1936,21184.259,88939.418,,425.372,152774.554,52155.741,,73.34,121528.047,293.36,150.347,,64300.845,3039.943,6732.612,,,143.013,231.021,3061.945,102635.663,484.044,7517.35,3.667,,183.35,352607.719,834904.8208,41943.146,27095.463,876633.02,2706.246,810.407,685.729,30326.09,29.336,36.67,1529.139,25060.278,19607.449,44.004,1884.838,,,161.348,25.669,57062.187,3523.987,18668.697,1029476.556,1171302.807,2127003.459,,,4224.384,23047.095,,128682.364,,1851.835,3847873.928,102910.0016,40582.689,550.05,462434.369,260.357,2845.592,660863.073,,2295.542,80.674,814.074,55.005,73.34,66.006,27814.195,47.671,469.376,2442.222,1499.803,9598583.176,9160.166,1331.121,46710.97511,,403.37,69280.631,3969623.671,4210276.743,240208.5071,165010.7161,38987.544,70973.97147,205869.047,22497.045,101722.58,28862.957,1474.134,16248.477,311588.657,5753.523,1657.484,797543.164,,3685.335,,249.356,29.336,29.336,58616.995,27139.467,481081.064,421.705,5339.152,1525.472,21646.301,69.673,537856.8219,49154.54198,3197.624,699943.535,3795503.867,2831541.171,,13201.2,,227.354,8203.079,,1026.76,3.667,363832.4951,126339.151,,3731147.354,,227.354,660.06,5104.464,224504.7,3036.276,3615.662,399.703,396.036,502.379,16677.516,4709608.774,,2420.22,231.021,32280.601,1507.137,140875.139,27198.139,198.018,88.008,15060.369,9515652.97,2093.857,39506.40725,23076.431,2603.57,18613.692,27586.841,165.015,825.075,313246.141,104223.4998,16406.158,634.391,1083.563622,9684546.622,227.354,9152.832,125829.438,,62.339,237639.3435,59808.77,4983.453,1353.123,16593.175,47.671,803.073,1510.804,187.017,260300.225,260330.613,68338.60593,11.001,1716.156,,,84590.356,399.703,33.003,8885.141,150.347,1014370.495,,315.362,19248.083,,,502936.384,224380.063,18.335,237639.3435,260330.613,8104.07,4213.383,47733.339,2464.224,1441.131,,3027034.091,5808.528,4356770.034,,29.336,62562.687,22.002,24528.563,58.672,15350300.36,36.67,1972.846,168568.323,2962.936,3791.678,8742.128
1972,,1532.806,4506.743,5643.513,272873.1958,23454.132,90156.862,,374.034,157486.649,56193.108,,73.34,130834.893,388.702,161.348,3509.319,66171.015,3681.668,6490.59,,,157.681,253.023,3571.658,114362.729,502.379,9460.86,3.667,22.002,168.682,381136.979,871821.017,42973.573,28191.896,931575.681,3014.274,861.745,663.727,31481.195,29.336,51.338,1763.827,25580.992,20799.224,55.005,2405.552,,,190.684,25.669,59643.755,4675.425,28349.577,1091365.898,1224324.109,2264116.348,,,4594.751,25511.319,,145026.183,,1408.128,4000672.952,96105.62591,44161.681,579.386,480729.032,234.688,2739.249,648486.948,,2423.887,73.34,832.409,66.006,66.006,88.008,31572.87,47.671,553.717,2709.913,1562.142,10081236.56,9284.844,1536.473,47889.69474,,392.369,69430.978,4189691.984,4438037.233,247677.7627,172588.4149,43340.273,71194.08372,217849.136,22053.338,106115.646,29552.353,1485.135,16934.206,328970.237,6288.905,1917.841,853373.239,,3872.352,,117.344,25.669,29.336,60336.818,27634.512,505998.329,487.711,5727.854,1507.137,15232.718,77.007,564409.9776,49481.1365,3542.322,737005.1144,4002632.774,3006157.595,,13494.56,,231.021,8049.065,,1287.117,3.667,390544.7494,132459.374,,3939509.915,,245.689,839.743,4899.112,234778.0034,3281.965,3300.3,447.374,689.396,546.383,17913.295,4946342.96,,1705.155,253.023,41426.099,1606.146,157794.677,29427.675,267.691,77.007,16197.139,9979035.198,2090.19,46853.0485,18929.054,2801.588,18173.652,26442.737,172.349,1268.782,329952.993,116214.5761,18349.668,715.065,1123.54752,10156470.19,216.353,10784.647,132422.704,,66.006,245637.662,70344.061,5379.489,1455.799,22240.355,55.005,678.395,1679.486,234.688,274433.4666,274474.8498,75610.45106,11.001,1745.492,,,84781.04,381.368,44.004,7766.706,121.011,1075335.408,,399.703,21836.985,,,528114.006,234647.663,22.002,245637.662,274474.8498,8243.416,4737.764,53857.229,2167.197,1382.459,,3198030.409,6076.219,4564952.958,,36.67,62577.355,22.002,23058.096,62.339,15952667.44,36.67,1496.136,171725.61,3021.608,4066.703,8225.081
1973,,1639.149,4880.777,5291.481,318600.4331,30630.451,94065.884,,330.03,170992.21,60164.469,,73.34,138872.957,381.368,168.682,4554.414,68825.923,5522.502,7873.049,,,146.68,425.372,3457.981,132463.041,480.377,9981.574,3.667,51.338,161.348,381621.023,908277.4316,46262.872,27652.847,968542.708,3208.625,898.415,1221.111,33699.73,29.336,62.339,2046.186,30670.788,22398.036,58.672,2500.894,,,179.683,25.669,59266.054,5966.209,38312.816,1143864.081,1347308.588,2412729.075,,,5262.145,23795.163,,155367.123,,1752.826,4205132.45,100163.9092,49387.156,630.724,516599.626,253.023,5313.483,660034.331,,2475.225,84.341,803.073,62.339,110.01,29.336,37256.72,55.005,557.384,2937.267,1804.164,10608084.32,9295.845,1510.804,51380.95003,,421.705,73068.642,4447771.763,4723465.069,275152.0259,194405.9229,49134.133,77055.02009,224343.393,22860.078,129595.447,30645.119,1752.826,19310.422,354320.208,8298.421,2203.867,915748.909,,3920.023,,128.345,36.67,29.336,73094.311,24242.537,555249.806,517.047,7172.652,1481.468,14587.326,80.674,616071.9285,53929.30922,3689.002,788664.1356,4287553.91,3166482.643,,14169.288,,223.687,9640.543,,1074.431,3.667,461976.7362,144292.783,,4218841.539,,267.691,806.74,4110.707,271739.8813,3479.983,3564.324,469.376,678.395,572.052,17513.592,5152241.343,,2599.903,330.03,49577.84,1829.833,165645.724,30524.108,421.705,84.341,18202.988,10479483.1,2112.192,56700.97591,20036.488,3241.628,19757.796,31543.534,176.016,1345.789,336128.221,128744.9139,20003.485,869.079,1211.512094,10665677.88,209.019,12467.8,144960.177,,69.673,254691.485,95136.648,5427.16,1551.141,21220.929,66.006,539.049,1969.179,264.024,291613.0001,291657.8997,90966.79052,14.668,2108.525,,,87366.275,370.367,47.671,7895.051,161.348,1127066.103,,403.37,24455.223,,,576038.029,271589.021,25.669,254691.485,291657.8997,9398.521,4829.439,59486.074,3186.623,1180.774,,3425368.896,5775.525,4770194.948,,40.337,66501.045,25.669,25096.948,55.005,16834514.94,36.67,2731.915,173533.441,3193.957,4591.084,9281.177
1974,,1917.841,4873.443,4345.395,310921.7222,31327.181,95569.354,,429.039,172356.334,57469.224,,91.675,135220.625,407.037,205.352,4660.757,71260.811,5405.158,7389.005,,,154.014,443.707,3516.653,143456.707,491.378,8184.744,3.667,88.008,113.677,389970.782,937730.1941,41481.104,25955.026,988014.478,3560.657,975.422,1624.481,36479.316,29.336,66.006,1906.84,29482.68,22911.416,55.005,1925.175,,,194.351,29.336,55078.34,6417.25,31906.567,1160870.902,1399283.14,2433976.925,,,6090.887,26123.708,,173152.073,,1738.158,4144087.666,98585.47663,46680.91,671.061,499071.366,300.694,5452.829,617607.141,,2937.267,77.007,839.743,62.339,102.676,51.338,36218.959,36.67,557.384,3069.279,1554.808,10359960.38,10678.304,1558.475,52481.08835,,473.043,74102.736,4594276.508,4884625.982,289867.7774,207760.2617,51260.993,78922.99276,231992.755,23303.785,143911.415,30942.146,1741.825,19446.101,359406.337,7601.691,2229.536,915873.587,,4950.45,,73.34,33.003,36.67,75686.88,19328.757,591934.474,293.36,7231.324,1723.49,9347.183,73.34,651782.6286,53669.00308,2933.6,828327.2779,4438410.178,3226110.909,,14411.31,,267.691,11136.679,,1188.108,3.667,468359.505,155007.757,,4369537.832,,304.361,744.401,4675.425,280490.5343,3751.341,3149.953,484.044,693.063,550.05,19050.065,4988902.162,,2783.253,289.693,62291.329,1950.844,160445.918,27696.851,425.372,99.009,18756.705,10249615.46,2335.879,50508.32462,21418.947,3021.608,21360.275,30531.442,194.351,1587.811,346876.198,143705.6728,20714.883,953.42,1287.481499,10398832.31,216.353,10487.62,150944.721,,73.34,263356.606,98788.98,5683.85,1851.835,21968.997,66.006,520.714,1972.846,330.03,309514.3941,309566.5222,84013.67798,18.335,1602.479,,,79889.262,311.695,55.005,9666.212,150.347,1143836.589,,377.701,24246.204,,,611178.89,280334.816,22.002,263356.606,309566.5222,10051.247,5397.824,61136.224,2306.543,1195.442,,3536554.025,5683.85,4598487.673,,33.003,75133.163,25.669,19083.068,62.339,16952269.64,33.003,2247.871,176734.732,3369.973,4202.382,9057.49
1975,,2126.86,4415.068,4594.751,307787.105,31070.491,94931.296,,707.731,175883.988,54392.611,,77.007,122100.099,443.707,220.02,4869.776,73061.308,5753.523,8254.417,,,176.016,458.375,4059.369,151164.741,568.385,7080.977,3.667,187.017,102.676,397143.434,1000543.864,39097.554,23014.092,1145607.47,3989.696,1162.439,1100.1,35896.263,33.003,77.007,2038.852,31583.871,27066.127,58.672,1980.18,,,198.018,29.336,55778.737,6340.243,32031.245,1329037.052,1430288.343,2570108.346,,,7363.336,31099.827,,181644.845,,1210.11,4066513.816,102476.4081,46101.524,623.39,446919.292,348.365,5368.488,603643.205,,2746.583,88.008,843.41,99.009,113.677,62.339,38873.867,47.671,506.046,3523.987,1826.166,10026387.16,11019.335,1668.485,52387.53918,,484.044,75389.853,4970380.138,5244544.278,273088.2314,190249.6334,53963.572,78532.87562,252201.592,22053.338,139349.667,33157.014,1617.147,19647.786,342310.783,8188.411,2493.56,870072.757,,4976.119,,73.34,33.003,33.003,81829.105,16827.863,605729.728,253.023,6431.918,1485.135,11580.386,77.007,663895.9005,52183.72681,2896.93,861441.4433,4773580.846,3571830.793,,11844.41,,297.027,11111.01,,1694.154,7.334,462031.7601,164472.284,,4703578.835,,341.031,667.394,4587.417,286515.093,4066.703,2885.929,509.713,590.387,579.386,19446.101,4803931.348,,2530.23,333.697,47395.975,1928.842,153020.243,29673.364,352.032,102.676,18261.66,9939237.376,7256.993,49925.97622,23219.444,3663.333,21965.33,32526.29,194.351,1532.806,375559.472,129928.2931,21356.608,839.743,1263.491161,10030497.66,212.686,10956.996,162257.416,,176.016,285677.635,83336.242,4239.052,2581.568,24543.231,58.672,524.381,2108.525,502.379,300532.0692,300588.0252,86128.42812,18.335,2020.517,,,80824.347,337.364,58.672,11184.35,183.35,1309524.437,,311.695,24407.552,,,618010.511,286356.03,33.003,285677.635,300588.0252,9622.208,5548.171,65697.972,2284.541,1133.103,,3836273.873,5969.876,4406329.539,,33.003,63816.801,25.669,21800.315,55.005,16853249.64,58.672,2170.864,185201.835,3237.961,4081.371,8320.423
1976,,1987.514,3285.632,4950.45,373496.6091,39651.271,99786.404,,403.37,174244.839,58415.31,,88.008,130009.818,260.357,209.019,5570.173,73116.313,6574.931,6464.921,,,176.016,469.376,4580.083,155154.437,531.715,6024.881,3.667,594.054,128.345,399317.965,1059828.976,40483.68,24103.191,1196193.735,3964.027,1092.766,1235.779,38089.129,40.337,73.34,2086.523,34766.827,27223.808,69.673,2464.224,,,198.018,29.336,60135.133,6332.909,39170.894,1392374.338,1554836.951,2701913.902,,,8111.404,34495.469,,198443.372,,1177.107,4332844.292,129963.9559,51279.328,484.044,505602.293,330.03,5709.519,598912.775,,2434.888,77.007,887.414,99.009,95.342,62.339,42911.234,47.671,220.02,3311.301,1752.826,10572191.76,12508.137,1778.495,51025.46316,,674.728,80013.94,5299065.345,5576595.718,276178.3149,195207.0628,61810.952,77284.50076,263785.645,22295.36,156643.239,48800.436,1705.155,19611.116,367312.389,7282.662,2951.935,908902.62,,4609.419,,73.34,33.003,36.67,93306.815,18474.346,631541.741,223.687,6127.557,1477.801,17916.962,84.341,695381.4734,50361.58377,2805.255,908063.234,5066860.847,3755463.007,,11840.743,,253.023,11547.383,,993.757,11.001,545550.6568,184138.405,,4993983.267,,341.031,762.736,4899.112,340215.1173,4404.067,2559.566,517.047,619.723,583.053,23894.172,5012888.009,,2390.884,333.697,55247.022,2225.869,169683.091,29317.665,282.359,102.676,19237.082,10455167.43,8327.757,50856.69375,22838.076,3611.995,22442.04,35129.86,113.677,1573.143,399035.606,150210.5134,22423.705,1034.094,999.5974373,10529745.38,264.024,10384.944,174765.553,,267.691,297283.69,101550.231,3755.008,1774.828,30036.397,62.339,451.041,2211.201,480.377,316104.161,316182.2569,90687.92237,29.336,1998.515,,,88308.694,333.697,80.674,13758.584,183.35,1371926.926,,322.696,28778.616,,,650683.481,340026.242,29.336,297283.69,316182.2569,15925.781,5848.865,73721.368,2790.587,990.09,,4079509.568,5896.536,4613100.668,,33.003,57344.546,25.669,13923.599,44.004,17835998.31,47.671,2566.9,193115.221,3413.977,4026.366,10868.988
1977,,2390.884,3534.988,5720.52,395284.7678,38785.859,100791.162,,465.709,187787.07,56218.777,,99.009,126570.172,297.027,249.356,5812.195,75969.239,7469.679,9717.55,,,198.018,454.708,4481.074,162961.48,590.387,6395.248,7.334,781.071,128.345,408151.768,1103080.537,41085.068,23109.434,1310310.775,4055.702,1565.809,480.377,39354.244,40.337,80.674,2614.571,38606.176,29402.006,73.34,2669.576,,,198.018,25.669,61847.622,5614.177,41891.808,1535571.841,1666109.723,2903540.7,,,7484.347,37865.442,,195663.786,,1048.762,4317177.794,127609.6191,50219.565,766.403,480857.377,407.037,6314.574,604746.972,,3003.273,77.007,902.082,113.677,102.676,62.339,46999.939,47.671,722.399,3813.68,1899.506,10795746.42,14231.627,2002.182,52847.80113,,707.731,83204.23,5653518.191,5932321.263,277120.482,190201.4446,82434.16,81869.52459,279051.366,23567.809,163969.905,43710.64,1906.84,19893.475,356175.71,7447.677,3164.621,935213.345,,5056.793,,73.34,22.002,36.67,105712.276,17220.232,660514.708,231.021,5573.84,1474.134,20106.161,69.673,727220.6913,52225.83516,2918.932,980009.6583,5405199.383,4016791.913,,10927.66,,308.028,12702.488,,847.077,14.668,574566.577,192847.53,,5332155.41,,414.371,803.073,5174.137,353783.2158,4972.452,2713.58,557.384,641.725,638.058,22610.722,5150899.221,,2141.528,366.7,50567.93,2838.258,164277.933,31070.491,337.364,113.677,20300.512,10668956.67,8507.44,53856.82792,24389.217,3461.648,23340.455,36754.341,183.35,1580.477,419024.423,141383.8529,22728.066,1158.772,1447.417089,10720896.08,275.025,9926.569,178399.55,,267.691,314921.96,118176.409,3806.346,2244.204,28309.24,80.674,513.38,2288.208,799.406,318719.9747,318801.7604,98756.50751,29.336,1899.506,,,85804.133,341.031,84.341,14664.333,198.018,1513021.974,,462.042,32159.59,,,676550.499,353586.808,29.336,314921.96,318801.7604,16175.137,6758.281,81572.415,2013.183,806.74,,4345595.746,5650.847,4742292.745,,33.003,63732.46,29.336,15276.722,51.338,18393371.31,80.674,2981.271,199950.509,3487.317,3744.007,9299.512
1978,,2159.863,5412.492,6494.257,425911.5191,44814.407,102639.33,,491.378,202015.03,57483.892,,102.676,135855.016,363.033,348.365,6017.547,81411.067,7766.706,6607.934,,,216.353,425.372,5027.457,176925.416,630.724,9541.534,11.001,832.409,146.68,415896.472,1159884.966,42218.171,22948.086,1462168.579,4818.438,2002.182,322.696,41682.789,29.336,209.019,2922.599,37091.705,30689.123,95.342,2808.922,,,201.685,25.669,61117.889,5449.162,62529.684,1706626.434,1749047.1,3081097.465,,,10425.281,39313.907,,200493.225,,1371.458,4458872.57,128598.5166,51913.719,711.398,505858.983,399.703,7561.354,605084.336,,2970.27,69.673,902.082,139.346,102.676,69.673,48081.704,51.338,392.369,4129.042,2057.187,11076848.04,15753.432,2049.853,55003.17417,,755.402,88187.683,6085229.743,6370358.572,283109.9723,193556.5942,93933.872,84214.81706,283096.067,23571.476,162470.102,42317.18,1925.175,21176.925,373234.594,9119.829,3641.331,903886.164,,5324.484,,51.338,22.002,33.003,113405.642,21000.909,719821.099,231.021,5713.186,1507.137,21239.264,99.009,783424.1885,55066.23461,3450.647,1015351.053,5837225.215,4375617.856,,11848.077,,414.371,13076.522,,1019.426,22.002,605684.4091,222649.239,,5760625.684,,396.036,935.085,5155.802,376531.2447,5782.859,2874.928,583.053,630.724,671.061,23237.779,5307183.094,,1543.807,418.038,48294.39,2632.906,170548.503,34792.496,330.03,113.677,18008.637,10952809.68,7796.042,62202.08847,26138.376,2841.925,22460.375,37476.74,110.01,1675.819,432056.941,141065.5389,22742.734,1459.466,1331.463787,10994207.74,311.695,10531.624,193903.626,,289.693,321225.533,115132.799,3439.646,2629.239,33164.348,62.339,711.398,2390.884,557.384,324085.5557,324159.8357,104161.9018,33.003,2394.551,,,79533.563,440.04,77.007,15221.717,194.351,1681551.968,,355.699,35067.521,,,733675.025,376322.208,36.67,321225.533,324159.8357,15328.06,7491.681,77256.356,2203.867,700.397,,4736975.476,5742.522,4890861.25,,36.67,68690.244,29.336,15419.735,58.672,18606020.64,106.343,3105.949,202099.371,3538.655,3476.316,9295.845
1979,,2240.537,5504.167,7587.023,456160.2077,36607.661,110703.063,,407.037,205069.641,61594.599,,110.01,140233.414,366.7,407.037,6648.271,79152.195,8133.406,6930.63,,,209.019,462.042,4737.764,188322.452,601.388,7440.343,22.002,942.419,102.676,442067.851,1172111.953,39911.628,24862.26,1494859.884,5423.493,1829.833,348.365,44433.039,22.002,249.356,2794.254,37524.411,31712.216,95.342,3003.273,,,363.033,33.003,62999.06,6809.619,45621.147,1749085.791,1847737.493,3202999.457,,,12167.106,42947.904,,203745.854,,1848.168,4649011.382,155888.2849,54333.939,839.743,529155.434,480.377,6754.614,644893.288,,2658.575,91.675,946.086,146.68,110.01,62.339,51293.996,47.671,572.052,4693.76,1521.805,11375684.82,15885.444,1932.509,55875.0525,,755.402,86229.505,6312784.016,6640171.456,325731.8135,235920.6289,95096.311,86817.12788,296891.321,27388.823,164028.577,52991.817,1987.514,21019.244,387466.221,8536.776,3795.345,955620.2,,5038.458,,29.336,25.669,36.67,133211.109,17667.606,770231.348,223.687,6156.893,1947.177,26032.033,150.347,838719.3765,58959.34275,3828.348,1105098,6093227.51,4492909.094,,12123.102,,414.371,15958.784,,1133.103,29.336,637209.4178,240874.229,,6011530.327,,429.039,905.749,5100.797,392656.662,6299.906,2643.907,605.055,660.06,638.058,27278.813,5344326.137,,1642.816,480.377,70289.056,1712.489,187812.739,34242.446,513.38,113.677,16475.831,11242126.98,7722.702,64931.84659,28250.568,3193.957,22273.358,38136.8,124.678,1796.83,442489.556,176821.5655,25030.942,1331.121,1539.380053,11267826.27,282.359,14359.972,196074.49,,297.027,338423.763,138135.89,3571.658,2900.597,36123.617,110.01,678.395,2390.884,487.711,365458.5757,365577.0137,107392.1246,33.003,2295.542,,,84927.72,447.374,121.011,22548.383,201.685,1723384.665,,1382.459,36736.006,,,786828.19,392438.673,40.337,338423.763,365577.0137,16725.187,8771.464,75576.87,2071.855,674.728,,4899054.101,6277.904,4901796.244,,29.336,76570.627,29.336,16281.48,62.339,19643807.31,95.342,3223.293,218908.899,3755.008,3604.661,9449.859
1980,,1760.16,5346.486,5170.47,508780.6663,36904.688,108737.551,,143.013,220746.066,52306.088,,146.68,135301.299,517.047,432.706,7638.361,77487.377,7887.717,7990.393,,,190.684,436.373,4668.091,187090.34,674.728,6882.959,22.002,986.423,106.343,443233.957,1203596.309,40538.685,25265.63,1467192.369,6222.899,3905.355,407.037,44356.032,47.671,121.011,2464.224,38837.197,31400.521,165.015,3208.625,,,348.365,36.67,60369.821,6457.587,66519.38,1725524.142,1937100.898,3193755.142,,,13443.222,45239.779,,215003.544,,1822.499,4519688.723,148559.0329,58246.628,795.739,505363.938,421.705,6633.603,579290.658,,2559.566,88.008,964.421,157.681,146.68,58.672,51429.675,47.671,564.718,4510.41,1789.496,11137933.03,16662.848,2057.187,60406.57464,,751.735,86860.229,6364081.676,6706315.134,340733.58,243335.6903,94784.616,93444.52969,314016.211,26255.72,120900.99,45558.808,1866.503,21147.589,388969.691,8452.435,4726.763,947571.135,,6197.23,,286.026,29.336,51.338,134868.593,24675.243,811133.066,187.017,6178.895,2042.519,26904.779,113.677,881387.5766,61619.82471,3410.31,1144455.331,6126515.629,4494309.366,,11026.669,,528.048,15944.116,,1617.147,44.004,646347.0483,268453.736,,6043066.95,,392.369,1023.093,5526.169,366140.5322,6879.292,3208.625,630.724,590.387,711.398,27997.545,5166880.007,,2002.182,572.052,68154.862,2027.851,177508.469,38052.459,542.716,124.678,17458.587,10991541.6,6046.883,61999.30644,32067.915,3124.284,24121.526,37000.03,157.681,1829.833,464575.897,171874.5911,26985.453,1492.469,1539.380053,10933115.27,293.36,13098.524,196617.206,,495.045,359501.679,169404.399,3747.674,3351.638,31433.524,102.676,608.722,2134.194,814.074,378269.7375,378361.9768,106434.6772,40.337,2372.549,,,71759.523,465.709,95.342,20802.891,209.019,1700181.766,,718.732,40135.315,,,827968.263,365937.264,40.337,359501.679,378361.9768,16937.873,9493.863,75763.887,1884.838,627.057,,4892140.077,5837.864,4723209.677,,36.67,90802.254,29.336,16820.529,62.339,19438422.3,99.009,3318.635,228454.1,3501.985,3531.321,9636.876
